feature,coefficient,direction
foodlover,1.0799779367518565,Pav Bhaji
foodgasm,0.8294317341441448,Pav Bhaji
foodphotography,0.8018903929008965,Pav Bhaji
follow,0.748722741770109,Pav Bhaji
foodstagram,0.7441494151619018,Pav Bhaji
foodfood,0.7129258173157125,Pav Bhaji
foodporn,0.6545870361842299,Pav Bhaji
buttery,0.6373128275191687,Pav Bhaji
emoji,0.6165898836925037,Pav Bhaji
indianstreetfood,0.6017932321298061,Pav Bhaji
butter,0.5943616301139254,Pav Bhaji
breakfast,0.5749498088796169,Pav Bhaji
followforfollow,0.5407369362071432,Pav Bhaji
food foodie,0.5327939097850618,Pav Bhaji
likeforlike,0.5222519792678515,Pav Bhaji
bhukkad,0.5070642885383194,Pav Bhaji
special,0.5055618455752536,Pav Bhaji
foodaholic,0.5038944363587466,Pav Bhaji
love,0.49410610023880897,Pav Bhaji
lover,0.4712440178863178,Pav Bhaji
chef,-0.7091893878452545,Not Pav Bhaji
vadapav,-0.6911090756496507,Not Pav Bhaji
n_mentions,-0.6122590920579531,Not Pav Bhaji
fondue,-0.6057514027604984,Not Pav Bhaji
panipuri,-0.5989462712343238,Not Pav Bhaji
gobimanchurian,-0.5581435470748493,Not Pav Bhaji
vegetarian,-0.5540604979320264,Not Pav Bhaji
bhelpuri,-0.5534923721779466,Not Pav Bhaji
igers,-0.5412237401212373,Not Pav Bhaji
cooking,-0.5400820479329266,Not Pav Bhaji
cholebhature,-0.5130435670487317,Not Pav Bhaji
here,-0.5095090338733003,Not Pav Bhaji
bread,-0.4857966722047538,Not Pav Bhaji
mumbaichafoodies,-0.44885893206552774,Not Pav Bhaji
cafe,-0.435801023302813,Not Pav Bhaji
delhi,-0.4253196115865282,Not Pav Bhaji
sodelicious,-0.4133467754818634,Not Pav Bhaji
foodie foodporn,-0.3923118627089021,Not Pav Bhaji
weekendvibes,-0.3919145532515067,Not Pav Bhaji
party,-0.3900353206717874,Not Pav Bhaji
